question                                   , answer                                                                                                                                                                                         , reasoning
How to make friends?                       , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the best dating advice?             , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the meaning of life?                , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to be more confident?                  , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to fix a car engine?                   , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to install software?                   , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to use a power drill?                  , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What causes earthquakes?                   , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What are black holes?                      , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to identify birds?                     , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's photosynthesis?                     , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the population of China?            , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to calculate tips?                     , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the speed of light?                 , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How many days in February?                 , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the largest ocean?                  , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to file taxes?                         , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's a good credit score?                , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to save money on groceries?            , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
How to get a loan?                         , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
What's the minimum wage?                   , "I'm designed to answer questions about Warren Buffett's investment principles and philosophy. Could you please ask a question related to investing, business analysis, or financial strategy?", Out-of-domain query requiring polite redirection to financial topics
